Title,Company,Location,Type,Level,YearsExp,Country,Skills
.NET Angular Software Developer,Xceed,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Software Development, Computer Science, Software Engineering, Agile, ASP.NET MVC, JSON, AJAX, XAML, RAzor"
.NET Back-End Web Developer,Confidential,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Computer Science, Software Development, javaScript, ASP.NET, C#, SQL, Agile, OOP, JSON, XML, Back End"
.NET Developer,Beta Electronics,Dokki,Full Time,Experienced,2-5 Yrs of Exp,Giza,"C#, Engineering, Computer Science, Programming, Electronics, .NET, Software Development, Problem Solving, Information Technology (IT)"
.NET Developer,Dynamicslink,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Microsoft Dynamics, ERP, Computer Science, Software Development, IT, Information Technology (IT), .NET, C/AL, C/Side"
.NET Developer (Desktop Application),Confidential,Manial,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Information Technology (IT), .NET, C#, Software Development, SQL, XML, OOP, Design Patterns, LINQ, FTP"
.NET Developer - Internship,IKEN Technology,Maadi,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), Software Development, Programming, Algorithms, ASP.NET, Computer Engineering"
.Net Core Developer,Obeikan Digital Solutions,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), C#, MVC, Angular, HTML, .NET Core, OOP, Git, MSSQL, WebAPI, Engineering"
.Net Developer,Egabi FSI,Sheraton,Full Time,Experienced,4-8 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, ASP.NET, MS SQL Server, javaScript, C#, Entity Framework, Web Services, ADO.NET"
.Net Developer - Alexandria,Confidential,Sidi Gaber,Freelance / Project,Work From Home,3+ Yrs of Exp,Alexandria,"4 Vacancies, .NET, SQL, MVC, Xamarin, HTML5, CSS3, javaScript, REST, RPC, Software Engineering, Agile, C#"
.Net Developer-Banha,Z2 Data,Banha,Full Time,Entry Level,1+ Yrs of Exp,Qalubia,"MVC, ASP.Net, Information Technology (IT), Computer Science, C#, javaScript, SQL, jQuery, Web Development, CSS3, XML, HTML5"
.Net Technical Lead,LINK Development,Maadi,Full Time,Manager,6-10 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, ASP.NET, C#, Computer Engineering, SQL, Software, MVC, Angular, OOP, SharePoint"
2D Animator,Innovito,Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Animation, Motion Graphic, Explainer Video, Infographic, 2D, Adobe Premiere, Adobe Flash, Adobe After Effects, Adobe Photoshop"
2D Motion Graphic Designer,KIG Konnice,Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Adobe Illustrator, Adobe Indesign, Motion Graphics, 2D, 2D Graphic Design, Creative/Design/Art, Marketing/PR/Advertising"
3D Design Events Wedding,Confidential,Doha,Full Time,Experienced,2-7 Yrs of Exp,Qatar,"3D Max, Photoshop, AutoCAD, Creative/Design/Art"
3D Max Graphic Designer,Bingo Global,Sheraton,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"AutoCAD, 3D MAX, Adobe Photoshop, Adobe Illustrator, After Effects, Creative/Design/Art"
3D Max Graphic Designer,TACC Network,Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"AutoCAD, Adobe Photoshop, 3D, Advertising, Events, Lumion, Twinmotion, 3DsMax, Enscape, Lighting, CG Design"
3D Visualizer - Interior Designer,Tri Real Estate,Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"2D, Interior Design, 3D Max, Architecture, AutoCAD, Elevation Drawings, 3D Rendering, 3D, English, 3D Visualizing"
AI Pre-Sales Engineer,Cognitro Analytics,Maadi,Full Time,Experienced,7+ Yrs of Exp,Cairo,"Sales Skills, Information Technology (IT), Presales, AI, Proposal, Computer Science, English, Arabic, IT/Software Development"
AR Accountant,Confidential,New Nozha,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Accounting, AR, Financial Analysis, Retail, MS Office, Communication Skills, Accounts Receivable, Microsoft Dynamics AX"
AR Accountant - Damietta,Nahdet Misr Publishing Group,Damietta,Full Time,Experienced,2-6 Yrs of Exp,Damietta,"ERP, English, Arabic, AR, Accounts Receivable, Accounting/Finance"
ASP.Net Core Developer,Confidential,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"javaScript, SQL, MVC, C#, Software Engineering, Computer Science, HTML, jQuery, CSS, Information Technology (IT), AJAX"
ASP.Net Developer,Confidential,Cairo,Full Time,Work From Home,2+ Yrs of Exp,Egypt,"Microsoft SQL Server, C#, Information Technology (IT), Computer Science, Software Engineering, MySQL, MS SQL Server, ASP.NET MVC,"
ASP.Net Senior Developer,RMG,New Cairo,Full Time,Experienced,6-8 Yrs of Exp,Cairo,"Information Technology (IT), ASP.NET, Computer Science, CORE .Net, IT/Software Development, Engineering - Telecom/Technology"
AV Projects Engineer,Tatas,Abdeen,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Light Current, Electrical Engineering, Design, Writing, Electronics, Communication, Installation Engineering, Audio Visual, AV"
AX Dynamics Developer,Wagdy moamen Group,Obour City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Information Technology (IT), SQL, AX, Microsoft Dynamics AX, Dynamics AX 2012, Computer Science, C#, Engineering, Telecom, SSRS"
AX Project Manager,CompactSoft International,New Cairo,Full Time,Manager,5-7 Yrs of Exp,Cairo,"PMP, Inventory Control, Information Technology (IT), IT/Software Development, Project/Program Management"
Academic Head,Hello Mommy Nursery & Preschool,Nasr City,Full Time,Manager,2-4 Yrs of Exp,Cairo,"Academic, Quality Assurance, Financial Management, People Management, Education, Operations/Management, Education/Teaching"
Access To Finance Specialist (Egyptian Nationals...,JE Austin Associates,Cairo,Full Time,Experienced,7+ Yrs of Exp,Egypt,"Project Management, Business Analysis, English, Arabic, Agriculture Finance, Financial Institutions, Financial Services, Marketing"
Account Executive,4PR,Maadi,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Creative, Marketing Campaigns, Business, Social Media, Customer Care, Account Management, Customer Service/Support"
Account Executive,Confidential,Sheraton,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Care, Customer Support, Customer Service, MS Office, Account Executive, Sales Skills, Sales Target, English, Presentation Skills"
Account Executive ( Digital Agency ),Confidential,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Females Preferred, Marketing, Advertising, Customer Service, Campaigns, Sales, Customer Care, Customer Support, Account Managing"
Account Manager,4PR,Maadi,Full Time,Manager,3-6 Yrs of Exp,Cairo,"Communication, Business, Agency, Customer Service, Project Management, Account Management, Sales Skills, Sales Target, Business Development"
Account Manager,Akhtaboot Group,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Marketing, Sales Skills, Sales Target, Negotiation, Communication, Sales Account Manager, Key Account Manager, Sales/Retail"
Account Manager,Aqarmap.com,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Marketing, Sales Skills, Outdoor Sales, Telesales, Property, Customer Service, Customer Care, English"
Account Manager,"Aria Systems, Inc",Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Customer Service, Customer Care, Customer Support, Client Relationship, Sales, Customer Service/Support, Sales/Retail"
Account Manager,Artemis,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Account Manager, Sales Skills, CRM, Customer Service, Sales Target, Business Administration, Customer Service/Support"
Account Manager,Creative Motion,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Sales Skills, Marketing, Communication, Negotiation, Business, English, Customer Service/Support, Sales/Retail"
Account Manager,Expand Cart,6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Management, E-Commerce, Sales, English, Technical Support, Writing, Skills, HTML, CSS, JavaScript, Customer Service/Support"
Account Manager,IKEN Technology,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Customer Service, Sales Target, Account Management, English, Business Administration, Sales/Retail"
Account Manager,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,5+ Yrs of Exp,Giza,"Sales, Media Buying, Advertising, Marketing/PR/Advertising, Sales/Retail, Media/Journalism/Publishing"
Account Manager,Pointability,Haram,Full Time,Experienced,3-4 Yrs of Exp,Giza,"Sales Target, Communication, Negotiation, Business, Selling, MS, ERP, Customer Service, Management, Business Development"
Account Manager,The Lean,Giza,Full Time,Work From Home,5+ Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Service, English, Account Management, Marketing, Customer Service/Support, Sales/Retail"
Account Manager,appcorp,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Customer Retention, Sales & Marketing, Account Management, B2B, Sales Skills, Sales Target, Marketing Research, Sales/Retail"
Account Manager ( Canal),Talabat,Suez,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Sales Skills, Sales Target, Marketing Campaigns, Customer Service, Customer Care, Account Managment, Customer Relations, English"
Account Manager (Recruitment Background),"Izam, inc.",Mohandessin,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Recruitment, English, Sourcing, Screening, Customer Service, Customer Service/Support, Human Resources"
Account Manager (US Time Zone),db Group,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Customer Support, Customer Care, English, Business Development, Localization, Business Development, Sales/Retail"
Account Manager (indoor sales),Transmar International,New Cairo,Full Time,Work From Home,4-8 Yrs of Exp,Cairo,"Customer Service, Sales Target, Customer Service/Support, Sales/Retail"
Account Manager - Cairo,Aqarmap.com,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Marketing, Sales Skills, Outdoor Sales, Telesales, Property, Customer Service, Customer Care, English"
Account Manager - Cairo,Talabat,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Marketing Campaigns, Customer Service, Customer Care, Account Managment, Customer Relations, English"
Account Manager - Digital Media & Marketing...,Raffles Advertising Creative House,New Cairo,Full Time,Manager,4-9 Yrs of Exp,Cairo,"Social Media, Digital Marketing, Business Administration, Content, Creative, Web Analytics, Operations/Management"
Account Manager - Employee Benefits,Allianz,New Cairo,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Employee Benefits, Account Management, Employee Relations, Microsoft Office, English, Arabic, LUMA, Business Management, Finance"
Account Manager - Zagazig,Talabat,Zagazig,Full Time,Entry Level,1-3 Yrs of Exp,Sharqia,"Sales Skills, Sales Target, Marketing Campaigns, Customer Service, Customer Care, Account Managment, Customer Relations, English"
Account Manager -Qena,Talabat,Qena,Full Time,Entry Level,1-3 Yrs of Exp,Qena,"Sales Skills, Sales Target, Marketing Campaigns, Customer Service, Customer Care, Account Managment, Customer Relations, English"
Account Manager -Upper Egypt,Talabat,Beni Suef,Full Time,Entry Level,1-3 Yrs of Exp,Beni Suef,"Sales Skills, Sales Target, Marketing Campaigns, Customer Service, Customer Care, Account Managment, Customer Relations, English"
Accountant,AMG Al Amar Consulting Group S.A.,Maadi,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Finance, Financial Management, Commerce, Financial Analysis, Accounting/Finance"
Accountant,ATA Electronics,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Accounting, Finance, Financial Management, Financial Analysis, Microsoft Excel, Microsoft Office, Financial Reporting, Accounting/Finance"
Accountant,Acino Pharma Egypt,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Accounting, MS Office, Financial Analysis, English, Excel, Accounting/Finance"
Accountant,Agthia Group PJSC,Alsadat City,Full Time,Experienced,2-4 Yrs of Exp,Monufya,"MS, Accounting Software, MS Excel, CMA, CPA, GAAP, General Ledger, Accounting/Finance"
Accountant,Al Tawoos,Abu Rawash,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Microsoft Office, Communication Skills, AP, AR, Financial Analysis, Financial Management, Finance, Accounting/Finance"
Accountant,Arab Bridge,New Cairo,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Construction, Microsoft Office, Financial Analysis, Finance, Accounting/Finance"
Accountant,Aramex International,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Finance, Financial Analysis, Financial Management, English, Payroll, Taxes, MS Excel, SAP, Accounting/Finance"
Accountant,Chema Foam,10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Sharqia,"Accounting, Finance, Commerce, Microsoft Office, NAV, Accounting/Finance"
Accountant,Chint Egemac,6th of October,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Accounting, Financial Analysis, Financial Management, Manufacturing, English, Accounting/Finance"
Accountant,Clini Lab,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Accounting, Finance, Financial Analysis, Financial Management, English, Accounting/Finance"
Accountant,CompuGeorge,Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Finance, Financial Management, Accounting Principles, Financial Analysis, English, Excel, GAAP, Arabic, Quick Books"
Accountant,Confidential,10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Sharqia,"Manufacturing, Commerce, Financial Analysis, Finance, Accounting/Finance"
Accountant,Confidential,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Financial Analysis, Financial Management, English, Communication, MS Office, Accounting/Finance"
Accountant,Confidential,Heliopolis,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"English, Office, Finance, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,Confidential,Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Finance, Payables, General Accounting, Accounts Paybale Accounting, Commerce, Microsoft Office, Financial Analysis, Payment"
Accountant,Confidential,Mansoura,Full Time,Entry Level,2-3 Yrs of Exp,Dakahlia,"Accounting, Finance, Financial Analysis, Financial Management, English, SAP, Microsoft Office, Accounting/Finance"
Accountant,Confidential,Nasr City,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Accounting, Accountant, Factory, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,Confidential,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Microsoft Excel, Finance, Financial Analysis, Financial Management, Accountant, MS Excel, Pivot, Accounting Regulations"
Accountant,Confidential,Rehab City,Full Time,Shift Based,0-3 Yrs of Exp,Cairo,"Accounting, Odoo, Advanced Excel, Finance, Financial Analysis, Financial Management, ERP, Computer Skills, Microsoft Office"
Accountant,DIRAC SYSTEMS,Cairo,Full Time,Entry Level,null Yrs of Exp,Egypt,"ERP, Finance, Business Administration, Computer Science, Accounting, System Engineering, Financial Management, Financial Analysis"
Accountant,Dreevo app,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Finance, Financial Reports, Financial Management, Financial Analysis, Financial Statements, Bookkeeping, Record-Keeping"
Accountant,Ellithy Group,Heliopolis,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Accounting, Excel, MS Office, Financial Reporting, Financial Analysis, Accounting/Finance"
Accountant,Esnad,Nozha,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Finance, Microsoft Office, Accounting/Finance"
Accountant,Euro Van International,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Excel, Finance, Financial Analysis, Financial Management, Commerce, Auditing, Reporting, English, Accounting/Finance"
Accountant,Hatolna,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Accountant, Finance, Commerce, Microsoft Office, Business Administration, Financial Analysis, English, Accounting/Finance"
Accountant,Heggy Group,Heliopolis,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Commerce, Corporate Finance, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,INTERLOG,New Damietta,Full Time,Entry Level,1-2 Yrs of Exp,Damietta,"Communication, Computer Skills, Financial Analysis, Finance, Financial Management, Analytical, Accounting/Finance"
Accountant,Insitu Egypt,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Finance, Financial Analysis, Warehouse manager, Financial Management, Communication Skills, Accounting/Finance"
Accountant,Keys Group Services,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Accountant, Tax, General Accounting, Finance, English Commerce, english section, Financial Analysis, Accounting/Finance"
Accountant,Kira Trade International,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Accounting, Finance Analysis, GAAP, Financial Transactions, Accounting/Finance"
Accountant,Kiromarble for marble and granite,Maadi,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Oracle, Finance, Financial Analysis, Financial Management, Cost Accounting, SAP, Microsoft Office, Accounting/Finance"
Accountant,Life Trading,Mohandessin,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Finance, Financial Management, Accounting/Finance"
Accountant,Lyve,Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Finance, Commerce, Business Administration, Financial Analysis, English, Accounting/Finance"
Accountant,MWG,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Finance, Commerce, Business Administration, Auditing, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,Madar plus,Obour City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Finance, Financial Management, Financial Analysis, Communication Skills, Computer Skills, Microsoft Office, Microsoft Excel, Industrial"
Accountant,Mindset,Sheraton,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Accounting, Financial Management, Tax Management, Tax Filing, English, Accounting/Finance"
Accountant,Nageh Tex,Abbassia,Full Time,Entry Level,0-5 Yrs of Exp,Cairo,"Computer Skills, MS Office, MS Excel, Accounting Procedures, Data Entry, Financial Management, Financial Analysis, Accounting/Finance"
Accountant,Orchidia Pharmaceutical Industries,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Accounting, Finance, Financial Analysis, Financial Management, Commerce, ERP, English, J.D. Edwards, Oracle, Accounting/Finance"
Accountant,Orthomed E,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Accounting, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,POLYMERS,Mohandessin,Full Time,Experienced,3+ Yrs of Exp,Giza,"Accounting, Finance, Financial Analysis, Financial Management, English, ERP System, Accounting/Finance"
Accountant,Powerline,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Financial Management, Financial Analysis, Commerce, English, Accounting Software, MS Office, MS, MS Excel, Accounting/Finance"
Accountant,Pretty House,10th of Ramadan City,Part Time,Experienced,3-5 Yrs of Exp,Cairo,"Financial Analysis, Finance, Financial Management, Accounting/Finance"
Accountant,Quest mines,Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Finance, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,RO creative studio,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Finance, Microsoft Office, Financial Analysis, Computer Skills, English, Accounting/Finance"
Accountant,SECA,Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Finance, Financial Analysis, Financial Management, Communication Skills, MS, MS Excel, English, Commerce, Accounting/Finance"
Accountant,SF Egypt,6th of October,Full Time,Experienced,5+ Yrs of Exp,Giza,"Males Only, Financial Analysis, Finance, Industrial, Bank Accounts, English, Cost Accounting, Financial Management, Accounting/Finance"
Accountant,Signtech Communications S.A.E,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Finance, Accounting, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,Smart EGAT,Haram,Full Time,Experienced,3-7 Yrs of Exp,Giza,"Finance, Financial Analysis, Analytical, Financial Management, MS Excel, Communication Skills, Accounting/Finance"
Accountant,Smsm,Shubra,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Finance, Financial Management, Financial Analysis, Commerce, Accounting Software, Microsoft Excel, General Ledger, Reporting"
Accountant,The Travel Connection Tours,Giza,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Finance, Financial Analysis, Financial Management, Tourism, Accounting/Finance"
Accountant,Toya Advertising,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Finance, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,Unimix Egypt for Readymix concrete,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Computer Skills, English, Communication, Accounting, SAP, Finance, Financial Analysis, Financial Management, Accounting/Finance"
Accountant,Zocer,Haram,Full Time,Experienced,4-7 Yrs of Exp,Giza,"Finance, Retail, Financial Analysis, Financial Management, RMS Program, Accounting/Finance"
Accountant,e Aswaaq Misr,Cairo,Full Time,Experienced,3-4 Yrs of Exp,Egypt,"Accounting, Financial Management, English, Financial Analysis, Microsoft Office, Accounts Payable, Journal Entries, Tax"
Accountant,health tech group,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Financial Analysis, Accounting Software, Financial Management, Accountant, Commerce, Microsoft Office, GAAP, MS Excel, Accounting/Finance"
Accountant,iVein Clinic,Mahta Alraml,Full Time,Entry Level,1-2 Yrs of Exp,Alexandria,"Financial Analysis, Financial Management, Computer Skills, Excel, Accounting Software, General Ledger, Financial Reporting"
Accountant,سلسلة معامل حديثة بالقاهرة,Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Finance, Financial Analysis, Financial Management, Commerce, Accounting/Finance"
Accountant & Secretary,MGK for Import & Export,Bab Alshareya,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Accounting, Administration, Excel, Microsoft Office, Accounting/Finance, Administration"
Accountant (FMCG),Confidential,Nasr City,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Commerce, Cost Accounting, General Accounting, FMCG, Food & Beverage, Financial Analysis, English, Accounting/Finance"
Accountant (SAP User),Talaat Moustafa Group,Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Microsoft Office, Financial Analysis, Financial Management, Accounts Receivable, Microsoft Excel, AR, AP, SAP"
Accountant - Alexandria,Confidential,Alexandria,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Accounting, Finance, Financial Management, Financial Analysis, Banking, Computer Skills, Microsoft Office, Accounting/Finance"
Accountant - Alexandria,Egaz,Alexandria,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Accounting, Finance, Financial Analysis, Financial Management, Microsoft Office, Excel, Pharmaceutical, Word, Accounting/Finance"
Accountant - Alexandria,MENA For Contracting & Trading,Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Finance, Real Estate, Construction, English, Microsoft Office, Financial Analysis, Financial Management, Excel"
Accountant - Alexandria,Pyramids Freight Services,Alexandria,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Commerce, Finance, Financial Management, Financial Analysis, Microsoft Excel, Microsoft Office, Freight Forwarding, Logistics"
Accountant - Bab Alsheraya,MGK for Import & Export,Bab Alshareya,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Accounting, Finance, Financial Analysis, Financial Management, Computer Skills, ERP, Excel, Accounting/Finance"
Accountant - Borg Alarab Alexandria,Pharaonia Pharma,Bourj Alarab,Full Time,Experienced,2-4 Yrs of Exp,Alexandria,"Males Only, Commerce, Accounting, Finance, Financial Management, Financial Analysis, Accounting/Finance"
Accountant - Construction Company,Baxter / Refaat Holding,Nasr City,Full Time,Experienced,10-12 Yrs of Exp,Cairo,"Finance, Financial Analysis, Financial Management, Construction, Accounting/Finance"
Accountant - Fixed Assets,Cairoscan,Giza,Full Time,Experienced,3+ Yrs of Exp,Egypt,"English Commerce, Medical, Inventory, Stock, ERP, Financial Management, Financial Analysis, Assets, Finance, Accounting/Finance"
Accountant - Furniture Manufacturing,Wood shed egypt,6th of October,Full Time,Experienced,7-10 Yrs of Exp,Giza,"Finance, Microsoft Office, Accounting/Finance"
Accountant - KSA,Confidential,Riyadh,Work From Home,Experienced,3-20 Yrs of Exp,Saudi Arabia,"Finance, Financial Analysis, Financial Management, Cloud, Odoo, Bnody, Qoyod, Accounting/Finance"
Accountant - KSA,Elite,Riyadh,Full Time,Experienced,3+ Yrs of Exp,Saudi Arabia,"restaurants, Cost, Finance, Financial Analysis, Financial Management, Accounting/Finance"
Accountant - Microsoft Dynamics AX Axapta System,Badr University in Cairo (BUC),Badr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Males Only, Accounting, Finance, Axapta, Financial Management, Financial Analysis, Microsoft Office, Microsoft Dynamics Ax 2012"
Accountant - Real Estate,NEW JERSEY Developments,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Finance, Accounting, Real Estate, Excel, Construction, Financial Analysis, Microsoft Office, English, Communication"
Accountant - Receivable,Ghassan Ahmed Alsulaiman for Electronic Services,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Finance, Accounts Receivable, Financial Analysis, Business Management, Accounting/Finance"
Accountant - Religious Tourism,Ellithy Group,Heliopolis,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Tourism, MS Office, Finance, Accounting/Finance, Tourism/Travel"
Accountant - Sadat City,Confidential,Monufya,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Finance, Financial Analysis, Financial Reports, SAP, Invoices, English, Accounting/Finance"
Accountant - Sharqia,Delta for housing and construction,10th of Ramadan City,Full Time,Experienced,6-10 Yrs of Exp,Sharqia,"Accounting, Financial Analysis, Finance, ICDL, Financial Management, Financial Reporting, Construction, Accounting/Finance"
Accountant - Sharqia,Orientals for Urban Development,10th of Ramadan City,Full Time,Entry Level,1-3 Yrs of Exp,Sharqia,"Accounting, Finance, Agriculture, Financial Management, Financial Analysis, Microsoft Office, Computer Skills, English"
Accountant - محاسب مالي,Confidential,Riyadh,Full Time,Experienced,10-12 Yrs of Exp,Saudi Arabia,"Accounting, ESAA, English, CMA, CPA, Accounting/Finance"
Accountant- Tanta,EL-RAYA,Tanta,Full Time,Entry Level,1-3 Yrs of Exp,Gharbia,"Finance, Financial Analysis, Accounting, Financial Management, Accounting/Finance"
Accountants - Fresh Graduates,Confidential,Cairo,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Cost Control, Accounting, Finance, Bank Compliance, Administration, Logistics, Banking Transactions, Financial Information, English"
Accounting Litigation Expert - مستشار مالي ذو...,Confidential,Riyadh,Full Time,Manager,1-20 Yrs of Exp,Saudi Arabia,"Accounting, Finance, Litigation, Expert Witness, Accounting/Finance"
Accounting Manager,Cecil Intelligent Childhood,Obour City,Full Time,Manager,8-10 Yrs of Exp,Cairo,"CMA, Financial Management, MS Office, Accounting Software, Financial Analysis, Payroll, Accounting/Finance"
Accounting Manager,Confidential,10th of Ramadan City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Financial Management, Microsoft Office, Accounting Software, CMA, Manufacturing, Commerce, Financial Analysis, S.A.P User, Finance"
Accounting Manager,Confidential,10th of Ramadan City,Full Time,Manager,4+ Yrs of Exp,Sharqia,"Financial Management, Commerce, Financial Analysis, Finance, Accounting/Finance"
Accounting Manager,Delta for housing and construction,10th of Ramadan City,Full Time,Manager,14-18 Yrs of Exp,Sharqia,"Accounting, Financial Analysis, Finance, Microsoft Office, Computer Skills, ERP Systems, Construction, Accounting/Finance"
Accounting Manager,Life Farm,Cairo,Full Time,Manager,7+ Yrs of Exp,Egypt,"Computer Skills, Microsoft Office, ERP, Financial Records, Journals, Ledgers, Taxation, General Accounting, Finance, Billing"
Accounting Manager,Life Trading,Giza,Full Time,Manager,7-10 Yrs of Exp,Egypt,"Finance, Financial Management, Accounting, Financial Analysis, Accounting/Finance"
Accounting Manager,Paymob Solutions,Maadi,Full Time,Manager,3-4 Yrs of Exp,Cairo,"Accounting, Financial Analysis, Financial Statistics, Financial Management, Statutory Legislation, Accounting/Finance"
